run,kernel,us,bytes,gbps,lanes,subgroup,rows,heads_per_wg,ksplit_wqa,ksplit_wkv,ksplit_woa,ksplit_wob,ksplit_rows,tiles,tile_heads,pv_tiles,pv_heads,n_kv,fp8_arith,shader_dir,extra_flags,note
fin_kv32k,wq_a.ksplit,35.03,6560000,187.3,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,wq_a.kcombine,1.26,10240,8.1,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,wo_a.ksplit,162.26,33587200,207.0,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,wo_a.kcombine,1.56,131072,84.0,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,wo_b.ksplit,206.86,41984000,203.0,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,wo_b.kcombine,1.76,163840,93.1,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,wkv.ksplit,10.51,2624000,249.8,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,wkv.kfinish,12.60,4096,0.3,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,gate.score,19.51,3932160,201.6,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,gate.topk,17.20,3072,0.2,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,head,5750.05,1323827200,230.2,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,compressor.wkv,31.75,5242880,165.1,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,compressor.wgate,31.88,5242880,164.5,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,compressor.norm,7.78,8192,1.1,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,compressor.store,15.48,3072,0.2,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,indexer.wq_b,36.08,5248000,145.4,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,indexer.q_finish,23.04,24576,1.1,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,indexer.key,45.11,131072,2.9,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_kv32k,indexer.weights,54.10,327680,6.1,32,32,2,1,2,2,4,8,1,64,8,8,1,32768,0,"build/shaders","","synthetic 32768-entry KV list (13.5)"
fin_tbl,mega_mhc.post,2.39,163840,68.6,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","E4M3 table decode, paired with fin_arith (13.2)"
fin_tbl,mega_mhc.mix,5.34,1966080,368.4,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","E4M3 table decode, paired with fin_arith (13.2)"
fin_tbl,mega_mhc.final,3.18,40960,12.9,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","E4M3 table decode, paired with fin_arith (13.2)"
fin_tbl,wq_a,38.07,6560000,172.3,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","E4M3 table decode, paired with fin_arith (13.2)"
fin_tbl,wq_b,193.63,41984000,216.8,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","E4M3 table decode, paired with fin_arith (13.2)"
fin_tbl,wkv.gemv,9.52,2624000,275.7,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","E4M3 table decode, paired with fin_arith (13.2)"
fin_tbl,wkv.finish,9.68,2560,0.3,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","E4M3 table decode, paired with fin_arith (13.2)"
fin_tbl,sparse_attn.score,26.30,134144,5.1,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","E4M3 table decode, paired with fin_arith (13.2)"
fin_tbl,sparse_attn.combine,27.26,134144,4.9,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","E4M3 table decode, paired with fin_arith (13.2)"
fin_tbl,sparse_attn_t.score,16.62,134144,8.1,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","E4M3 table decode, paired with fin_arith (13.2)"
fin_tbl,sparse_attn_t.pv,26.33,134144,5.1,32,32,2,1,2,2,4,8,1,32,8,1,1,193,0,"build/shaders","","E4M3 table decode, paired with fin_arith (13.2)"
