section,kernel,variant,n,rows,k,weight_bytes,ms,rows_per_s,eff_gbps,rel_l2,cos,load
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gemm 24x20480 wfp32 xf32,17010,80,0,0,1366.8,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,prefill_elem s1,17010,88,0,0,982.6,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,prefill_elem s2,17010,81,0,0,847.9,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gemm 512x5120 wbf16 xf32,17010,7,0,0,752.6,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gpu: attn finish,17010,700,0,0,703.8,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,coop 4096x1280 wfp8 xq,17010,107,0,0,508.1,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,host: gate top-6 readback,17010,40,0,0,204.6,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,coop 512x5120 wfp8 xq,17010,20,0,0,100.0,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,coop 1280x5120 wfp8 xq,17010,20,0,0,49.8,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gemm 32x5120 wbf16 xf32,17010,107,0,0,46.8,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,coop 384x5120 wbf16 xf32,17010,20,0,0,38.4,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,host: candidate blocks,17010,107,0,0,28.6,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,coop 128x512 wbf16 xf32,17010,4,0,0,27.6,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,host: MoE CSR,17010,40,0,0,19.8,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gate top-6 (gpu),17010,40,0,0,19.8,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,prefill_elem s3,17010,80,0,0,18.8,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,gemm 129280x5120 wbf16 xf32,17010,1,0,0,14.1,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
op,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,prefill_elem s6,17010,3,0,0,2.6,0,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
prefill,N=17010 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 8,total,17010,10795,0,203041341440,1399384.0,12.2,0,0,0,"lock fin-s, 5 deepmoe_tests concurrent"
